unique_elements,count
GLYCERIN,578
WATER,400
CETEARYL ALCOHOL,362
PHENOXYETHANOL,352
TOCOPHEROL,349
XANTHAN GUM,326
PARFUM,304
ETHYLHEXYLGLYCERIN,301
GLYCERYL STEARATE,280
CITRIC ACID,268
LIMONENE,257
LINALOOL,253
CAPRYLIC/CAPRIC TRIGLYCERIDE,242
TOCOPHERYL ACETATE,240
SODIUM HYALURONATE,219
DIMETHICONE,210
CAPRYLYL GLYCOL,206
SODIUM BENZOATE,200
BENZYL ALCOHOL,198
POTASSIUM SORBATE,194
PROPANEDIOL,186
PENTYLENE GLYCOL,185
DISODIUM EDTA,180
SODIUM HYDROXIDE,173
BUTYLENE GLYCOL,171
CARBOMER,166
CITRONELLOL,155
PANTHENOL,149
BUTYROSPERMUM PARKII BUTTER,148
SQUALANE,147
WATER (WATER),137
PARFUM (FRAGRANCE),135
HYDROXYACETOPHENONE,133
CETYL ALCOHOL,123
PROPYLENE GLYCOL,113
HEXYL CINNAMAL,111
NIACINAMIDE,109
GLYCERYL STEARATE CITRATE,104
GERANIOL,103
1,98
BENZYL SALICYLATE,98
ASCORBYL PALMITATE,97
SODIUM STEAROYL GLUTAMATE,96
2-HEXANEDIOL,95
BEHENYL ALCOHOL,92
SQUALENE,88
ALLANTOIN,88
SODIUM POLYACRYLATE,87
CERAMIDE NP,83
STEARIC ACID,82
DEHYDROACETIC ACID,82
BETA-SITOSTEROL,80
LECITHIN,79
COCO-CAPRYLATE/CAPRATE,76
BETAINE,75
GLYCINE SOJA OIL,74
ALPHA-ISOMETHYL IONONE,72
PEG-100 STEARATE,71
TREHALOSE,68
SILICA,67
TRIETHANOLAMINE,65
SORBITAN OLIVATE,65
CETEARYL GLUCOSIDE,64
DICAPRYLYL CARBONATE,64
HELIANTHUS ANNUUS SEED OIL,63
ETHYLHEXYL STEARATE,63
ISOHEXADECANE,63
SODIUM PHYTATE,62
CETEARYL OLIVATE,61
BENZOIC ACID,61
HYALURONIC ACID,59
SODIUM LACTATE,59
ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,59
BUTYROSPERMUM PARKII (SHEA) BUTTER,58
GLUCOSE,58
HYDROXYCITRONELLAL,57
METHYLPROPANEDIOL,57
CHOLESTEROL,57
COUMARIN,57
BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE,55
POTASSIUM CETYL PHOSPHATE,55
DICAPRYLYL ETHER,55
C12-15 ALKYL BENZOATE,53
OCTYLDODECANOL,52
ETHYLHEXYL TRIAZONE,52
AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER,51
BUTYL METHOXYDIBENZOYLMETHANE,51
GLYCINE SOJA (SOYBEAN) OIL,51
TRIPELARGONIN,50
HYDROXYETHYLCELLULOSE,49
POLYSORBATE 80,49
GLYCERYL CAPRYLATE,49
LACTIC ACID,48
ARGANIA SPINOSA KERNEL OIL,48
ETHYLHEXYL SALICYLATE,47
